id,x,first_notes
1,Abes,looks okay
2,Albert Loop,not loop shaped
3,Alder,combine alder 1 and 2?
4,Alder 2,combine alder 1 and 2?
5,Anchorage Overlook,fine
6,Ballpark,starts from midpoint of wolverine trail?
7,Bear Point,does not start from trailhead
8,Bird Creek,fix my plot to browse to zoom out
9,Bird Point Interp,looks okay
10,Bird Ridge,looks okay
11,Bird Ridge Interp,looks okay
12,Bird Valley,looks okay
13,Blacktail Ptarmigan Rocks,does not start from trailhead
14,Blueberry Hollow,does not start from trailhead
15,Blueberry Loop,does not start from trailhead
16,Bold Ridge,looks okay
17,Cali Creek,looks okay
18,Connector 1,minitrail
19,Connector 2,minitrail
20,Crow Pass,fix my plot to browse to zoom out
21,Denali View,does not start from trailhead
22,Dew Mound,fix my plot to browse to zoom out
23,Eagle River Greenbelt,looks okay
24,Eagle River North Fork Access,could be combined with other trails?
25,East Fork Eklutha River,looks good
26,Eklutna ATV Access,looks good
27,Eklutna Lake Spillway,looks good
28,Eklutna Lakeside,fix my plot to browse to zoom out
29,Eklutna Spillway,looks good
30,ER Access1,minitrail
31,ER Access2,minitrail
32,ER Access3,minitrail
33,Falls Creek,fix my plot to browse to zoom out
34,Flattop Peak,does not start from trailhead
35,Flattop Peak Alternate,does not start from trailhead
36,Four Corners Loop,does not start from trailhead
37,Gasline,fix my plot to browse to zoom out
38,Golden Grass,does not start from trailhead
39,Grand View,looks good
40,Hanging Valley,does not start from trailhead
41,Hemlock Knob,does not start from trailhead
42,Hidden Lake,lower size of points and look again
43,Indian Creek Pass,fix my plot to browse to zoom out
44,Indian To Bird Bike,fix my plot to browse to zoom out
45,Lake Spur HV,does not start from trailhead
46,Little Loop,does not start from trailhead
47,Little Omalley,does not start from trailhead
48,Long Lake,does not start from trailhead
49,Lost Cabin Valley,looks good
50,McHugh Lake,fix my plot to browse to zoom out
51,Meadow Creek,does not start from trailhead
52,Middle Fork Loop,fix my plot to browse to zoom out
53,Mile High Ridge,looks good
54,Mile High Saddle,looks good
55,Mountain Meadow,does not start from trailhead
56,Mt Baldy,looks good
57,Mt Eklutna,does not start from trailhead
58,Muktuk Marstib Memorial,does not start from trailhead
59,Near Point,does not start from trailhead
60,North Fork,does not start from trailhead
61,Panorama View,looks good
62,Peak Spor RR,minitrail
63,Penguin Creek,looks good
64,Penguin Peak,looks good
65,Peters Valley,fix my plot to browse to zoom out
66,Picnic Loop,looks good
67,Powerline,something happened that is very wrong
68,Powerline Access,minitrail
69,Ptarmigan Pass,does not start from trailhead
70,Ptarmigan Valley,fix my plot to browse to zoom out
71,Public Use Cabin,minitrail
72,Rabbit Lake,starts from a real trailhead?
73,Rapids Camp Loop,does not start from trailhead
74,Rapids Camp Yurt,minitrail
75,River Loop,something happened that is very wrong
76,River Loop Yurt,minitrail
77,RL Interp,minitrail
78,RL Interp 2,minitrail
79,RL Interp 3,minitrail
80,Rodak Nature Loop,minitrail
81,Rondevous Peak,looks good
82,Rondevous Ridge,looks good
83,Ship Lake Pass,fix my plot to browse to zoom out
84,Silver Fern,looks good
