"","id","name","steward","source","length","description","part_of"
"1",NA,"Abes","NPS","NPS",1.4,"TestDescription",NA
"2",NA,"Albert Loop","NPS","NPS",1.4,"TestDescription",NA
"3",NA,"Alder","NPS","NPS",1.4,"TestDescription",NA
"4",NA,"Alder 2","NPS","NPS",1.4,"TestDescription",NA
"5",NA,"Anchorage Overlook","NPS","NPS",1.4,"TestDescription",NA
"6",NA,"Ballpark","NPS","NPS",1.4,"TestDescription",NA
"7",NA,"Bear Point","NPS","NPS",1.4,"TestDescription",NA
"8",NA,"Bird Ridge","NPS","NPS",1.4,"TestDescription",NA
"9",NA,"Bird Creek","NPS","NPS",1.4,"TestDescription",NA
"10",NA,"Bird Point Interp","NPS","NPS",1.4,"TestDescription",NA
"11",NA,"Bird Ridge Interp","NPS","NPS",1.4,"TestDescription",NA
"12",NA,"Bird Valley","NPS","NPS",1.4,"TestDescription",NA
"13",NA,"Blacktail Ptarmigan Rocks","NPS","NPS",1.4,"TestDescription",NA
"14",NA,"Blueberry Hollow","NPS","NPS",1.4,"TestDescription",NA
"15",NA,"Blueberry Loop","NPS","NPS",1.4,"TestDescription",NA
"16",NA,"Bold Ridge","NPS","NPS",1.4,"TestDescription",NA
"17",NA,"Cali Creek","NPS","NPS",1.4,"TestDescription",NA
"18",NA,"Connector 1","NPS","NPS",1.4,"TestDescription",NA
"19",NA,"Connector 2","NPS","NPS",1.4,"TestDescription",NA
"20",NA,"Crow Pass","NPS","NPS",1.4,"TestDescription",NA
"21",NA,"Denali View","NPS","NPS",1.4,"TestDescription",NA
"22",NA,"Dew Mound","NPS","NPS",1.4,"TestDescription",NA
"23",NA,"Eagle River Greenbelt","NPS","NPS",1.4,"TestDescription",NA
"24",NA,"Eagle River North Fork Access","NPS","NPS",1.4,"TestDescription",NA
"25",NA,"East Fork Eklutha River","NPS","NPS",1.4,"TestDescription",NA
"26",NA,"Eklutna Lakeside","NPS","NPS",1.4,"TestDescription",NA
"27",NA,"Eklutna ATV Access","NPS","NPS",1.4,"TestDescription",NA
"28",NA,"Eklutna Lake Spillway","NPS","NPS",1.4,"TestDescription",NA
"29",NA,"Eklutna Spillway","NPS","NPS",1.4,"TestDescription",NA
"30",NA,"ER Access1","NPS","NPS",1.4,"TestDescription",NA
"31",NA,"ER Access2","NPS","NPS",1.4,"TestDescription",NA
"32",NA,"ER Access3","NPS","NPS",1.4,"TestDescription",NA
"33",NA,"Falls Creek","NPS","NPS",1.4,"TestDescription",NA
"34",NA,"Flattop Peak","NPS","NPS",1.4,"TestDescription",NA
"35",NA,"Flattop Peak Alternate","NPS","NPS",1.4,"TestDescription",NA
"36",NA,"Four Corners Loop","NPS","NPS",1.4,"TestDescription",NA
"37",NA,"Gasline","NPS","NPS",1.4,"TestDescription",NA
"38",NA,"Golden Grass","NPS","NPS",1.4,"TestDescription",NA
"39",NA,"Grand View","NPS","NPS",1.4,"TestDescription",NA
"40",NA,"Hanging Valley","NPS","NPS",1.4,"TestDescription",NA
"41",NA,"Hemlock Knob","NPS","NPS",1.4,"TestDescription",NA
"42",NA,"Hidden Lake","NPS","NPS",1.4,"TestDescription",NA
"43",NA,"Indian Creek Pass","NPS","NPS",1.4,"TestDescription",NA
"44",NA,"Indian To Bird Bike","NPS","NPS",1.4,"TestDescription",NA
"45",NA,"Lake Spur HV","NPS","NPS",1.4,"TestDescription",NA
"46",NA,"Little Loop","NPS","NPS",1.4,"TestDescription",NA
"47",NA,"Little Omalley","NPS","NPS",1.4,"TestDescription",NA
"48",NA,"Long Lake","NPS","NPS",1.4,"TestDescription",NA
"49",NA,"Lost Cabin Valley","NPS","NPS",1.4,"TestDescription",NA
"50",NA,"McHugh Lake","NPS","NPS",1.4,"TestDescription",NA
"51",NA,"Meadow Creek","NPS","NPS",1.4,"TestDescription",NA
"52",NA,"Middle Fork Loop","NPS","NPS",1.4,"TestDescription",NA
"53",NA,"Mile High Ridge","NPS","NPS",1.4,"TestDescription",NA
"54",NA,"Mile High Saddle","NPS","NPS",1.4,"TestDescription",NA
"55",NA,"Mountain Meadow","NPS","NPS",1.4,"TestDescription",NA
"56",NA,"Mt Baldy","NPS","NPS",1.4,"TestDescription",NA
"57",NA,"Mt Eklutna","NPS","NPS",1.4,"TestDescription",NA
"58",NA,"Muktuk Marstib Memorial","NPS","NPS",1.4,"TestDescription",NA
"59",NA,"Near Point","NPS","NPS",1.4,"TestDescription",NA
"60",NA,"North Fork","NPS","NPS",1.4,"TestDescription",NA
"61",NA,"Panorama View","NPS","NPS",1.4,"TestDescription",NA
