"","name","id","url","phone","address","publisher","license"
"1","AK DNR",1,"","","","yes","none"
"2","Anchorage School District",2,"","","","yes","none"
"3","ER Parks & Recreation",3,"","","","yes","none"
"4","Mental Health Trust",4,"","","","yes","none"
"5","MOA Parks & Rec",5,"","","","yes","none"
"6","MOA Parks and Rec.",6,"","","","yes","none"
"7","MOA STREET_MAINTENANCE",7,"","","","yes","none"
"8","NA",8,"","","","yes","none"
"9","US Army",9,"","","","yes","none"
"10","US BLM",10,"","","","yes","none"
